2.31,4.45,2.03,2.58,4.19,4.55,3.20,3.90,1.38,10772920.00
2.31,4.45,2.03,2.58,4.19,4.56,3.21,3.90,2.89,10773926.00
2.31,4.45,2.03,2.57,4.18,4.55,3.21,3.90,3.69,10774933.00
2.30,4.44,2.03,2.56,4.18,4.55,3.21,3.90,3.11,10775940.00
2.30,4.44,2.03,2.56,4.18,4.55,3.21,3.91,3.61,10776945.00
2.30,4.44,2.03,2.56,4.18,4.54,3.21,3.91,3.48,10777952.00
2.30,4.44,2.03,2.56,4.18,4.55,3.21,3.91,2.77,10778958.00
2.30,4.44,2.03,2.55,4.17,4.54,3.21,3.91,3.49,10779964.00
2.30,4.44,2.03,2.55,4.17,4.54,3.21,3.91,2.60,10780971.00
2.30,4.45,2.03,2.55,4.18,4.55,3.22,3.91,4.96,10781977.00
2.29,4.44,2.03,2.54,4.17,4.54,3.21,3.91,4.24,10782983.00
2.29,4.43,2.02,2.54,4.17,4.54,3.21,3.91,4.57,10783989.00
2.28,4.43,2.02,2.54,4.17,4.54,3.21,3.91,3.82,10784996.00
2.28,4.43,2.02,2.53,4.17,4.54,3.21,3.91,3.71,10786002.00
2.28,4.43,2.02,2.53,4.16,4.54,3.21,3.91,3.69,10787008.00
2.28,4.43,2.02,2.53,4.16,4.53,3.21,3.91,3.17,10788015.00
2.28,4.43,2.02,2.52,4.16,4.53,3.21,3.91,3.55,10789021.00
2.28,4.43,2.02,2.52,4.16,4.53,3.21,3.91,2.74,10790027.00
2.27,4.43,2.02,2.52,4.16,4.53,3.21,3.91,3.26,10791033.00
2.27,4.43,2.02,2.52,4.16,4.53,3.21,3.91,2.26,10792040.00
2.27,4.42,2.02,2.51,4.16,4.52,3.21,3.91,2.91,10793046.00
2.27,4.42,2.02,2.51,4.15,4.52,3.21,3.91,2.23,10794052.00
2.27,4.42,2.02,2.51,4.15,4.52,3.21,3.91,2.73,10795059.00
2.27,4.42,2.02,2.51,4.15,4.52,3.21,3.91,2.30,10796065.00
2.27,4.42,2.02,2.51,4.15,4.52,3.21,3.91,2.42,10797071.00
2.26,4.42,2.02,2.51,4.15,4.52,3.21,3.91,2.43,10798077.00
2.26,4.41,2.02,2.50,4.15,4.52,3.21,3.91,2.09,10799084.00
2.26,4.41,2.02,2.50,4.15,4.52,3.21,3.91,2.55,10800090.00
2.26,4.41,2.02,2.50,4.14,4.51,3.20,3.91,1.87,10801096.00
2.26,4.41,2.02,2.50,4.14,4.51,3.20,3.90,2.59,10802103.00
2.26,4.41,2.01,2.49,4.14,4.51,3.20,3.90,1.79,10803109.00
2.25,4.41,2.01,2.49,4.14,4.51,3.20,3.90,2.47,10804115.00
